study,family,centroid
Manitoba,F082,-0.8085482037466186
Manitoba,Family XI,1.9021575164125457
Manitoba,Fibrobacteraceae,-1.2396870356289387
Manitoba,Flavobacteriaceae,2.660096708185398
Manitoba,Fusobacteriaceae,1.571718728358868
Manitoba,Gastranaerophilaceae,-0.11304779719321899
Manitoba,Gemellaceae,-1.5004691475848657
Manitoba,Geodermatophilaceae,-1.3536596085947294
Manitoba,gir-aah93h0,-0.5247712925547833
Manitoba,Halomonadaceae,-1.1749386942831186
Manitoba,Hymenobacteraceae,-1.4779199590536014
Manitoba,Idiomarinaceae,-1.3015201063041966
Manitoba,Incertae Sedis,-1.3199822280219493
Manitoba,Intrasporangiaceae,-0.43601867616273343
Manitoba,JG30-KF-CM45,-0.5841738118678081
Manitoba,Kineosporiaceae,-1.5420838328713604
Manitoba,Lachnospiraceae,4.666146987731443
Manitoba,Lactobacillaceae,-0.3653711977688218
Manitoba,Legionellaceae,-1.4507317742134542
Manitoba,Leptotrichiaceae,-1.2945477817070947
Manitoba,Lysobacteraceae,2.731640583738257
Manitoba,Marinifilaceae,-1.1939328652617287
Manitoba,Marinilabiliaceae,-0.5703215851642499
Manitoba,Methylophilaceae,-1.0292529633917293
Manitoba,Microbacteriaceae,2.3263683304339455
Manitoba,Micrococcaceae,2.6522691433038834
Manitoba,Micrococcales Incertae Sedis,-0.5494659373393572
Manitoba,Monoglobaceae,1.4902641892670994
Manitoba,Moraxellaceae,3.7200170948889313
Manitoba,Muribaculaceae,0.8697185862149237
Manitoba,Mycobacteriaceae,-0.4614203229640611
Manitoba,Mycoplasmataceae,-1.3617007771177538
Manitoba,Neisseriaceae,-1.255272729551113
Manitoba,Nocardiaceae,-0.7498398242145107
Manitoba,Nocardioidaceae,1.3085610136937817
Manitoba,Oscillospiraceae,4.032998443852749
Manitoba,Oxalobacteraceae,-1.097414865975248
Manitoba,p-251-o5,-0.9710339356736675
Manitoba,p-2534-18B5 gut group,-0.6276685048691375
Manitoba,Paenibacillaceae,-0.010054023637901437
Manitoba,Paludibacteraceae,0.13476801370788116
Manitoba,Paracoccaceae,0.8079738053705682
Manitoba,Pasteurellaceae,-1.171877503675946
Manitoba,Peptococcaceae,0.3707572528501721
Manitoba,Peptostreptococcaceae,3.8443827379447497
Manitoba,Planococcaceae,2.371904193598541
Manitoba,Porphyromonadaceae,0.6569311133386416
Manitoba,Prevotellaceae,2.656786080746599
Manitoba,Promicromonosporaceae,-1.3070002428069523
Manitoba,Propionibacteriaceae,0.8582878516724515
Manitoba,Pseudobdellovibrionaceae,-1.4224221000041497
Manitoba,Pseudohongiellaceae,-0.8382750763596171
Manitoba,Pseudomonadaceae,2.0935445054917627
Manitoba,Pseudonocardiaceae,-0.210846103417377
Manitoba,Rhizobiaceae,0.545137859571751
Manitoba,Rhodanobacteraceae,-1.4749834829039357
Manitoba,Rhodocyclaceae,-1.4241684356185895
Manitoba,Rikenellaceae,2.7553978687215572
Manitoba,Ruminococcaceae,2.5514289233569416
Manitoba,Saccharimonadaceae,0.27823727375005514
Manitoba,Saccharospirillaceae,-1.1861743438836758
Manitoba,Sanguibacteraceae,-1.5244691561897745
Manitoba,Saprospiraceae,-1.3523852738870594
Manitoba,Selenomonadaceae,0.9185307647669166
Manitoba,Sphingobacteriaceae,3.1204730410641197
Manitoba,Sphingomonadaceae,0.3115799397614218
Manitoba,Spirochaetaceae,0.4019490733991774
Manitoba,Spirosomataceae,-0.3482753926432914
Manitoba,Staphylococcaceae,2.3581028941709348
Manitoba,Streptococcaceae,0.8247161505763582
Manitoba,Streptomycetaceae,-1.5128666652718015
Manitoba,Succinivibrionaceae,1.206987581706632
Manitoba,Sutterellaceae,0.5127237656449399
Manitoba,Synergistaceae,-1.375590255723005
Manitoba,Tannerellaceae,-0.9409779258499232
Manitoba,Thermoactinomycetaceae,-0.5217062691598067
Manitoba,Thermomonosporaceae,-1.2013820405563957
Manitoba,Trueperaceae,-1.5975816919208121
Manitoba,UCG-010,2.4903171145390925
Manitoba,UCG-011,-1.1058093615562825
Manitoba,Unclassified_Absconditabacteriales (SR1),-0.7558104924925882
Manitoba,Unclassified_Alphaproteobacteria,-1.6646820418882367
Manitoba,Unclassified_Bacilli,1.0483347026557885
Manitoba,Unclassified_Bacillota,-1.089576477141408
