family,PC1_loading,PC2_loading
Pseudobdellovibrionaceae,-0.019148342861386964,0.057972514802120734
Pseudohongiellaceae,-0.061163209306742225,0.07003811912019516
Pseudomonadaceae,-0.04264583266685776,0.1613371458129849
Pseudonocardiaceae,0.18135715108197897,0.026151083869028424
Rhizobiaceae,0.13707861193770246,-0.046960358396460254
Rhodanobacteraceae,0.010378340518447058,0.06170632567003717
Rhodocyclaceae,0.006673854957154395,0.014679174613549338
Rikenellaceae,-0.1605161785821457,-0.1167113504897256
Ruminococcaceae,-0.016429703279734045,-0.1404108264615202
Saccharimonadaceae,0.053699794654399696,-0.1796883992639053
Saccharospirillaceae,-0.029643269206662232,0.06752762720474316
Sanguibacteraceae,0.015898826110414953,-0.007321065717761356
Saprospiraceae,-0.015043726081712491,0.06745354630321103
Selenomonadaceae,0.10522034310388022,-0.12498027598336105
Sphingobacteriaceae,-0.06536207224594516,0.006229277130258327
Sphingomonadaceae,0.09501643476502852,-0.1340996433349894
Spirochaetaceae,-0.044572579533293674,-0.14286470854826516
Spirosomataceae,-0.04834186482819108,0.06464988930037462
Staphylococcaceae,0.041976130532078354,0.07612932849220178
Streptococcaceae,-0.04245090486950417,0.11347644255034132
Streptomycetaceae,0.04222998576450211,0.04585454090332045
Succinivibrionaceae,-0.054906131556347465,-0.15229102363512845
Sutterellaceae,-0.06842452614612682,-0.04068621516987897
Synergistaceae,0.11512153621346022,0.037889758248428045
Tannerellaceae,-0.06770133288138969,-0.007503712534977951
Thermoactinomycetaceae,0.10820656732114033,0.024736791534572693
Thermomonosporaceae,0.09615443960838489,0.066947526433722
Trueperaceae,-0.011092325954758646,0.023662837834717464
UCG-010,-0.12775041920000443,-0.050577316252669036
UCG-011,0.07669476545251162,0.013296280689495564
Unclassified_Absconditabacteriales (SR1),0.19407243561325033,-0.04423861722082818
Unclassified_Alphaproteobacteria,0.019031428944706948,0.02339946808848971
Unclassified_Bacilli,-0.006884377283343474,0.08560764439963103
Unclassified_Bacillota,0.11694437588503664,0.014126319873985878
Unclassified_Bacteria,-0.02022625973707238,0.03216901128409159
Unclassified_Bacteroidales,-0.1642883329419167,-0.06726659123525215
Unclassified_Bacteroidetes VC2.1 Bac22,0.04453750788831949,0.05692655767609181
Unclassified_Bacteroidia,-0.030675648755494726,0.05026272087026503
Unclassified_Bradymonadales,-0.007744898721731815,0.014774987401513683
Unclassified_Clostridia,0.12548388771682717,-0.0684732884313165
Unclassified_Clostridia UCG-014,-0.041515747765260236,-0.1380193446570719
Unclassified_Clostridia vadinBB60 group,-0.04757488985957756,-0.050894249889105424
Unclassified_Coriobacteriales,0.02417997349036418,0.044947132226306266
Unclassified_Gammaproteobacteria,0.039147705116123865,0.044385430233734924
Unclassified_Izemoplasmatales,-0.029880823598192906,-0.0023623308883293304
Unclassified_Microtrichales,-0.008402653270395783,0.05293225923111045
Unclassified_Oscillospirales,-0.014282179468717026,-0.022159222189007562
Unclassified_Pseudomonadales,0.0257074754852067,0.08842244277550707
Unclassified_Pseudomonadota,-0.06770811186673369,0.05210121785796253
Unclassified_RF39,-0.07403786050974266,0.035483461020540556
Unclassified_Rhodospirillales,-0.031582570416542936,-0.016193789282187673
Unclassified_Saccharimonadales,0.012654210162596623,0.016471262704731794
Unclassified_Veillonellales-Selenomonadales,-0.01751102522056168,0.05363858798180248
Unclassified_WCHB1-41,-0.0020450469588596887,-0.0308203284133685
Veillonellaceae,0.06929083142331004,0.06116032285061935
Weeksellaceae,-0.11862937771570319,-0.11632692466982279
Wohlfahrtiimonadaceae,0.1551722282837586,0.04155959849607551
Xanthobacteraceae,0.05177870377153136,0.07247689296549513
