family,prevalence,retained
Unclassified_Burkholderiales,0.04081632653061224,FALSE
Unclassified_C0119,0,FALSE
Unclassified_Candidatus Campbellbacteria,0,FALSE
Unclassified_Candidatus Jorgensenbacteria,0,FALSE
Unclassified_Candidatus Nomurabacteria,0,FALSE
Unclassified_Candidatus Peregrinibacteria,0.02040816326530612,FALSE
Unclassified_CCD24,0,FALSE
Unclassified_Chitinophagales,0.04081632653061224,FALSE
Unclassified_Clostridia,0.5510204081632653,TRUE
Unclassified_Clostridia UCG-014,0.8163265306122449,TRUE
Unclassified_Clostridia vadinBB60 group,0.7755102040816326,TRUE
Unclassified_Coriobacteriales,0.12244897959183673,TRUE
Unclassified_Cyanobacteriia,0.02040816326530612,FALSE
Unclassified_Dojkabacteria,0,FALSE
Unclassified_DTU014,0.02040816326530612,FALSE
Unclassified_Enterobacterales,0.04081632653061224,FALSE
Unclassified_Eremiobacteria,0.04081632653061224,FALSE
Unclassified_Erysipelotrichales,0.04081632653061224,FALSE
Unclassified_Frankiales,0,FALSE
Unclassified_Gaiellales,0.061224489795918366,FALSE
Unclassified_Gammaproteobacteria,0.16326530612244897,TRUE
Unclassified_Gitt-GS-136,0.02040816326530612,FALSE
Unclassified_Hyphomicrobiales,0.02040816326530612,FALSE
Unclassified_Izemoplasmatales,0.2653061224489796,TRUE
Unclassified_JG30-KF-CM66,0,FALSE
Unclassified_KD4-96,0.04081632653061224,FALSE
Unclassified_Lactobacillales,0.08163265306122448,FALSE
Unclassified_Latescibacterota,0.02040816326530612,FALSE
Unclassified_Limnochordia,0,FALSE
Unclassified_Lineage IV,0.02040816326530612,FALSE
Unclassified_Lysobacterales,0.04081632653061224,FALSE
Unclassified_MB-A2-108,0,FALSE
Unclassified_MBA03,0,FALSE
Unclassified_Micavibrionales,0,FALSE
Unclassified_Micrococcales,0.08163265306122448,FALSE
Unclassified_Microgenomatia,0.02040816326530612,FALSE
Unclassified_Microtrichales,0.16326530612244897,TRUE
Unclassified_Mycobacteriales,0,FALSE
Unclassified_OLB14,0,FALSE
Unclassified_Opitutales,0,FALSE
Unclassified_Oscillospirales,0.5714285714285714,TRUE
Unclassified_Patescibacteria,0.04081632653061224,FALSE
Unclassified_PB19,0,FALSE
Unclassified_PeM15,0,FALSE
Unclassified_Peptostreptococcales-Tissierellales,0,FALSE
Unclassified_Planctomycetales,0.02040816326530612,FALSE
Unclassified_PLTA13,0.02040816326530612,FALSE
Unclassified_Pseudomonadales,0.20408163265306123,TRUE
Unclassified_Pseudomonadota,0.4897959183673469,TRUE
Unclassified_R7C24,0,FALSE
Unclassified_RF39,0.3877551020408163,TRUE
Unclassified_Rhodospirillales,0.4489795918367347,TRUE
Unclassified_Rickettsiales,0.08163265306122448,FALSE
Unclassified_S085,0,FALSE
Unclassified_Saccharimonadales,0.12244897959183673,TRUE
Unclassified_Sericytochromatia,0,FALSE
Unclassified_Streptosporangiales,0,FALSE
Unclassified_Subgroup 2,0.08163265306122448,FALSE
Unclassified_Thermoleophilia,0,FALSE
Unclassified_Veillonellales-Selenomonadales,0.20408163265306123,TRUE
Unclassified_Vicinamibacterales,0.061224489795918366,FALSE
Unclassified_WCHB1-41,0.10204081632653061,TRUE
Unknown Family,0.02040816326530612,FALSE
Vagococcaceae,0.061224489795918366,FALSE
Veillonellaceae,0.3469387755102041,TRUE
Verrucomicrobiaceae,0,FALSE
Vibrionaceae,0.061224489795918366,FALSE
Vicinamibacteraceae,0.04081632653061224,FALSE
Victivallaceae,0.08163265306122448,FALSE
Vulgatibacteraceae,0.02040816326530612,FALSE
WD2101 soil group,0,FALSE
Weeksellaceae,0.8775510204081632,TRUE
Wohlfahrtiimonadaceae,0.24489795918367346,TRUE
Xanthobacteraceae,0.14285714285714285,TRUE
Yersiniaceae,0,FALSE
